year,quarter,distance,fare_per_mile,itin_fare,itin_id,miles_flown,round_trip,total_covid_cases,total_covid_deaths,total_covid_tests_per_thousand,total_covid_vaccinations,oil_price_per_barrel,cumulative_inflation,inflation_adjusted_itin_fare,inflation_adjusted_fare_per_mile
2007,3,2528.3463333333334,0.21949893333333334,386.785,163566698918.84766,2515.652666666667,0.723,0.0,0.0,0.0,0.0,73.49666666666667,38.23896139821003,401.57525668440667,0.22789234457201493
2007,4,2492.984,0.22419456666666668,394.3706666666667,160871503105.33368,2484.297666666667,0.7376666666666667,0.0,0.0,0.0,0.0,87.61,38.23896139821003,409.45099136591966,0.23276753404712172
2008,1,2431.6773333333335,0.2330073666666667,399.1666666666667,161793025922.94034,2423.3103333333333,0.721,0.0,0.0,0.0,0.0,95.30666666666667,35.38628891670867,413.29169365925287,0.24125263266325475
2008,2,2361.733,0.2538041,404.962,166238144215.16766,2352.146333333333,0.7303333333333333,0.0,0.0,0.0,0.0,120.96999999999998,35.38628891670867,419.29210233228815,0.26278528521084515
2008,3,2459.9973333333332,0.24419546666666667,409.677,161603434971.608,2447.7206666666666,0.712,0.0,0.0,0.0,0.0,115.68666666666668,35.38628891670867,424.1739486845305,0.2528366380022838
2008,4,2402.4856666666665,0.23815096666666666,397.40566666666666,160568387889.33032,2390.516,0.729,0.0,0.0,0.0,0.0,56.0,35.38628891670867,411.46837840447057,0.24657824557892677
2009,1,2396.405135045015,0.20985841947315773,359.30010003334445,155274576087.01,2384.0773591197067,0.7295765255085028,0.0,0.0,0.0,0.0,44.11666666666667,31.547188620057668,370.6350080603019,0.21647886261578458
2009,2,2366.9736666666668,0.21249816666666668,342.39666666666665,158886143303.88034,2355.0866666666666,0.6993333333333334,0.0,0.0,0.0,0.0,59.193333333333335,31.547188620057664,353.198318892879,0.21920188641191643
2009,3,2405.673224408136,0.2155465821940647,344.9399799933311,160610032603.13138,2395.0216738912973,0.6828942980993664,0.0,0.0,0.0,0.0,68.21666666666667,31.547188620057668,355.82186660477964,0.22234647087894957
2009,4,2339.0943647882627,0.21935431810603537,366.6972324108036,162035692277.72223,2332.745915305102,0.7125708569523175,0.0,0.0,0.0,0.0,75.50333333333333,31.547188620057668,378.26549916812036,0.22627433015395054
2010,1,2367.5436666666665,0.2358454,381.823,157981400084.582,2358.67,0.6993333333333334,0.0,0.0,0.0,0.0,77.06,31.90273488635741,394.00419794251366,0.24336951327036688
2010,2,2411.570333333333,0.23260406666666666,391.0933333333333,165164383205.19,2403.012333333333,0.7023333333333334,0.0,0.0,0.0,0.0,78.17666666666668,31.90273488635741,403.5702802624885,0.2400247725390219
2010,3,2393.1300433477827,0.22858276092030674,384.78559519839945,164573615624.5025,2381.470823607869,0.6795598532844281,0.0,0.0,0.0,0.0,75.51,31.90273488635741,397.0613080301033,0.2358751761415389
2010,4,2282.8686666666667,0.2400474,386.03366666666665,164028160298.857,2275.726,0.7103333333333334,0.0,0.0,0.0,0.0,85.42,31.90273488635741,398.3491963915418,0.24770556856235937
2011,1,2252.162333333333,0.24922,399.28833333333336,143754799217.44,2244.449,0.673,0.0,0.0,0.0,0.0,99.75,30.26269144396753,411.37187296217604,0.25676206796166556
2011,2,2347.023,0.26503936666666666,425.20866666666666,147042567440.018,2339.136,0.6833333333333333,0.0,0.0,0.0,0.0,110.05333333333331,30.26269144396753,438.0766253453008,0.27306017124060455
2011,3,2327.4146666666666,0.25645996666666665,402.694,148225770064.86465,2316.468,0.6623333333333333,0.0,0.0,0.0,0.0,103.07666666666668,30.26269144396753,414.88060426833704,0.2642211355056302
2011,4,2380.115333333333,0.2669091,438.00166666666667,145893588681.80432,2374.1143333333334,0.711,0.0,0.0,0.0,0.0,103.16333333333333,30.26269144396753,451.25677595694356,0.27498648773688705
2012,1,2314.756,0.26279226666666666,422.00933333333336,160528011841.308,2309.2633333333333,0.6893333333333334,0.0,0.0,0.0,0.0,112.51666666666668,27.105849875345463,433.4482549686613,0.26991547439533503
2012,2,2368.1596666666665,0.2596846,435.64733333333334,166044122528.27634,2357.828,0.693,0.0,0.0,0.0,0.0,102.83,27.105849875345463,447.4559245492613,0.2667235717825391
2012,3,2379.1646666666666,0.25611626666666665,429.85633333333334,166200237032.39233,2369.9733333333334,0.6663333333333333,0.0,0.0,0.0,0.0,102.76666666666662,27.105849875345463,441.50795457263314,0.26305851574156724
2012,4,2344.1676666666667,0.2494892,425.38966666666664,163793492011.275,2336.2643333333335,0.698,0.0,0.0,0.0,0.0,101.92333333333332,27.105849875345463,436.92021510985654,0.25625181680072
2013,1,2320.6196666666665,0.2620655,428.1893333333333,164281005060.277,2312.577333333333,0.678,0.0,0.0,0.0,0.0,105.08666666666667,25.03651261008488,438.9097009768372,0.2686267061954182
2013,2,2366.4016666666666,0.2605918333333333,438.49133333333333,168796267314.363,2355.219,0.683,0.0,0.0,0.0,0.0,99.32,25.03651261008488,449.4696271297463,0.26711614405466844
2013,3,2353.3033333333333,0.2592913666666667,437.04266666666666,171315341237.21832,2345.88,0.683,0.0,0.0,0.0,0.0,107.39333333333332,25.03651261008488,447.9846909018118,0.26578311823790274
2013,4,2341.983333333333,0.2632781666666667,437.3093333333333,166348383676.13467,2329.522,0.7,0.0,0.0,0.0,0.0,104.51333333333334,25.03651261008488,448.25803397184114,0.2698697338063767
2014,1,2317.4726666666666,0.27151176666666665,442.32166666666666,163078691322.237,2310.8036666666667,0.6616666666666666,0.0,0.0,0.0,0.0,103.65666666666668,23.571679954457736,452.7479314302557,0.2779117551344027
2014,2,2341.8706666666667,0.2902959,461.7866666666667,167554969901.11966,2332.6523333333334,0.6696666666666666,0.0,0.0,0.0,0.0,106.31666666666666,23.571679954457736,472.6717541805692,0.2971386620468912
2014,3,2349.0246666666667,0.2745146666666667,456.50733333333335,170071710408.06235,2341.4513333333334,0.6793333333333333,0.0,0.0,0.0,0.0,100.37666666666668,23.571679954457736,467.26797809152964,0.280985438532138
